city,id,name,displayName,region,starRating,userRating,numReviews,userRatingInfo
Jakarta,3000010007125,Hotel Gren Alia Jakarta,Hotel Gren Alia Jakarta,"Senen, Jakarta",3.0,8.7,2906.0,Mengesankan
Jakarta,3000010013403,Holiday Inn Express JAKARTA WAHID HASYIM,Holiday Inn Express JAKARTA WAHID HASYIM,"Kebon Kacang, Jakarta",3.0,8.6,3537.0,Mengesankan
Jakarta,45322500000,ibis Styles Jakarta Airport,ibis Styles Jakarta Airport,"Benda, Jakarta",3.0,8.3,4157.0,Mengesankan
Jakarta,9000000874119,Sentral Cawang Hotel,Sentral Cawang Hotel,"Cawang, Jakarta",3.0,8.4,7369.0,Mengesankan
Jakarta,3000010031823,Harris Vertu Hotel Harmoni,Harris Vertu Hotel Harmoni,"Harmoni, Jakarta",5.0,8.6,3749.0,Mengesankan
Jakarta,9000000928498,Grand Dafam Ancol Jakarta,Grand Dafam Ancol Jakarta,"Ancol, Jakarta",4.0,8.4,434.0,Mengesankan
Jakarta,74877,Harris Tebet Jakarta,Harris Tebet Jakarta,"Manggarai Selatan, Jakarta",4.0,8.5,5101.0,Mengesankan
Jakarta,1000000545168,Sheraton Grand Jakarta Gandaria City Hotel,Sheraton Grand Jakarta Gandaria City Hotel,"Kebayoran Lama Utara, Jakarta",5.0,8.9,1579.0,Mengesankan
Jakarta,1000000533946,Swiss-Belresidences Kalibata,Swiss-Belresidences Kalibata,"Kalibata, Jakarta",4.0,8.6,8523.0,Mengesankan
Jakarta,1000000552735,Grand Mercure Jakarta Kemayoran,Grand Mercure Jakarta Kemayoran,"Gunung Sahari, Jakarta",5.0,8.7,3438.0,Mengesankan
Jakarta,65540,"The Ritz-Carlton Jakarta, Mega Kuningan","The Ritz-Carlton Jakarta, Mega Kuningan","Kuningan, Jakarta",5.0,8.8,2884.0,Mengesankan
Jakarta,9000000133906,ASTON Kartika Grogol Hotel & Conference Center,ASTON Kartika Grogol Hotel & Conference Center,"Grogol, Jakarta",4.0,8.6,3896.0,Mengesankan
Jakarta,3000010005459,Swiss-Belhotel Airport Jakarta,Swiss-Belhotel Airport Jakarta,"Benda, Jakarta",4.0,8.5,2222.0,Mengesankan
Jakarta,3000020009097,Hotel Dharmein,Hotel Dharmein,"Melawai, Jakarta",3.0,8.5,3116.0,Mengesankan
Jakarta,9000000883365,Swiss-Belinn Wahid Hasyim,Swiss-Belinn Wahid Hasyim,"Kebon Kacang, Jakarta",3.0,8.4,895.0,Mengesankan
Jakarta,9000001043096,Ra Suites Simatupang,Ra Suites Simatupang,"Cilandak Barat, Jakarta",5.0,8.6,68.0,Mengesankan
Jakarta,7347,Shangri-La Jakarta,Shangri-La Jakarta,"Karet Tengsin, Jakarta",5.0,8.9,2262.0,Mengesankan
Jakarta,399926,Grand Mercure Jakarta Harmoni,Grand Mercure Jakarta Harmoni,"Harmoni, Jakarta",5.0,8.6,1627.0,Mengesankan
Bandung,2000000081029,eL Hotel Royale Bandung,eL Hotel Royale Bandung,"Merdeka, Bandung",4.0,8.7,16317.0,Mengesankan
Bandung,3000010008390,Grand Tjokro Premiere Bandung,Grand Tjokro Premiere Bandung,"Cihampelas, Bandung",4.0,8.5,15901.0,Mengesankan
Bandung,1000000570828,Four Points by Sheraton Bandung,Four Points by Sheraton Bandung,"Dago, Bandung",4.0,8.8,2190.0,Mengesankan
Bandung,3000010009554,Aryaduta Bandung,Aryaduta Bandung,"Merdeka, Bandung",4.0,8.7,8395.0,Mengesankan
Bandung,194479,Hilton Bandung,Hilton Bandung,"Pasirkaliki, Bandung",5.0,8.8,3130.0,Mengesankan
Bandung,1000000511080,InterContinental Hotels BANDUNG DAGO PAKAR,InterContinental Hotels BANDUNG DAGO PAKAR,"Mekarsaluyu, Bandung",5.0,8.8,4140.0,Mengesankan
Bandung,3000010007325,Clove Garden Hotel & Residence,Clove Garden Hotel & Residence,"Dago, Bandung",4.0,8.2,14893.0,Nyaman
Bandung,3000010043683,Moxy Bandung,Moxy Bandung,"Dago, Bandung",3.0,8.7,1939.0,Mengesankan
Bandung,295675,ibis Bandung Trans Studio,ibis Bandung Trans Studio,"Buahbatu, Bandung",3.0,8.4,17868.0,Mengesankan
Bandung,9000000092703,Apartment Gateway Cicadas by GPro,Apartment Gateway Cicadas by GPro,"Cibeunying, Bandung",0.0,6.9,163.0,Baik
Bandung,3000010032948,Holiday Inn BANDUNG PASTEUR,Holiday Inn BANDUNG PASTEUR,"Pasteur, Bandung",4.0,8.6,5223.0,Mengesankan
Bandung,3000010029354,Kytos Hotel,Kytos Hotel,"Setiabudi, Bandung",3.0,8.4,6245.0,Mengesankan
Bandung,1000000508325,Crowne Plaza BANDUNG,Crowne Plaza BANDUNG,"Sumurbandung, Bandung",5.0,8.7,3856.0,Mengesankan
Bandung,3000020004232,Apartmen The Suite Metro By Faris Bunbun,Apartmen The Suite Metro By Faris Bunbun,"Batununggal, Bandung",0.0,7.7,430.0,Nyaman
Bandung,280342,The Papandayan Hotel,The Papandayan,"Lengkong, Bandung",5.0,8.8,5038.0,Mengesankan
Bandung,3000010001305,THE 1O1 Bandung Dago,THE 1O1 Bandung Dago,"Dago, Bandung",4.0,8.6,12553.0,Mengesankan
Bandung,186703,GH Universal Hotel,GH Universal Hotel,"Setiabudi, Bandung",5.0,8.5,6137.0,Mengesankan
Bandung,1000000570828,Four Points by Sheraton Bandung,Four Points by Sheraton Bandung,"Dago, Bandung",4.0,8.8,2190.0,Mengesankan
Bandung,9000000966541,The Suites Metro by Desta Faris,The Suites Metro by Desta Faris,"Batununggal, Bandung",0.0,7.5,63.0,Nyaman
Bandung,62293,Sheraton Bandung Hotel & Towers,Sheraton Bandung Hotel & Towers,"Dago Atas, Bandung",5.0,8.7,2213.0,Mengesankan
Bandung,3000020009318,Janévalla Bandung,Janévalla Bandung,"Merdeka, Bandung",4.0,8.8,9593.0,Mengesankan
Bandung,49722,Grand Hotel Preanger,Grand Hotel Preanger,"Braga, Bandung",5.0,8.6,3800.0,Mengesankan
Bandung,3000010000305,Shakti Hotel Bandung,Shakti Hotel Bandung,"Gedebage, Bandung",4.0,8.5,9209.0,Mengesankan
Bandung,238032,The Luxton Bandung,The Luxton Bandung,"Dago, Bandung",4.0,8.5,5129.0,Mengesankan
Bandung,9000000929110,Maison Teraskita Bandung,Maison Teraskita Bandung,"Asia Afrika, Bandung",4.0,8.7,788.0,Mengesankan
Bandung,108951,Serela Riau by KAGUM Hotels,Serela Riau by KAGUM Hotels,"Jalan Riau, Bandung",3.0,8.0,5598.0,Nyaman
Bandung,271478,Harris Hotel & Conventions Festival Citilink Bandung,Harris Hotel & Conventions Festival Citilink Bandung,"Pasir Koja, Bandung",4.0,8.4,4955.0,Mengesankan
Bandung,2000000081026,Horison Ultima Bandung,Horison Ultima Bandung,"Lengkong, Bandung",4.0,8.0,17509.0,Nyaman
Bandung,3000010008595,Atlantic City Hotel,Atlantic City,"Pasirkaliki, Bandung",3.0,8.5,9630.0,Mengesankan
Bandung,9000000971417,Nine Inn by Edotel Dbest,Nine Inn by Edotel Dbest,"Batununggal, Bandung",2.0,7.6,35.0,Nyaman
Bandung,161695,Grand Serela Setiabudhi by KAGUM Hotels,Grand Serela Setiabudhi by KAGUM Hotels,"Setiabudi, Bandung",4.0,8.0,6164.0,Nyaman
Bandung,3000020003597,"Courtyard by Marriott Bandung Dago, CHSE Certified","Courtyard by Marriott Bandung Dago, CHSE Certified","Dago, Bandung",4.0,8.6,2179.0,Mengesankan
