city,name,displayName,region,starRating,userRating,numReviews,userRatingInfo,latitude,longitude,hotelFeatures,prices
Jakarta,Sheraton Grand Jakarta Gandaria City Hotel,Sheraton Grand Jakarta Gandaria City Hotel,"Kebayoran Lama Utara, Jakarta",5.0,8.9,1579.0,Mengesankan,-6.2452633,106.7830351,"Restoran show cooking, Winery, Sewa mobil, Fasilitas bisnis, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",9958300
Jakarta,Millennium Hotel Sirih Jakarta,Millennium Hotel Sirih Jakarta,"Tanah Abang, Jakarta",4.0,8.6,4969.0,Mengesankan,-6.182667002467954,106.81670638161472,"Transportasi ke pusat perbelanjaan, Sewa mobil, Aksesibel bagi penyandang disabilitas",3431560
Jakarta,Teraskita Hotel Jakarta managed by Dafam,Teraskita Hotel Jakarta managed by Dafam,"Cawang, Jakarta",4.0,8.6,9335.0,Mengesankan,-6.245687,106.87465,"Restoran show cooking, Layanan pijat, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Spa, Bar",5820000
Jakarta,Lumire Hotel & Convention Center,Lumire Hotel & Convention Center,"Senen, Jakarta",4.0,8.5,8924.0,Mengesankan,-6.1759450247056895,106.84034395092624,"Layanan pijat, Pusat kebugaran, Bilyar, Aksesibel bagi penyandang disabilitas, Sauna, Check-out ekspress, Pusat kebugaran, Bar",3050000
Jakarta,Royal Kuningan Hotel,Royal Kuningan Hotel,"Rasuna Said, Jakarta",4.0,8.5,6678.0,Mengesankan,-6.206681,106.830269,"Aksesibel bagi penyandang disabilitas, Check-out ekspress",9234378
Jakarta,Pullman Jakarta Central Park,Pullman Jakarta Central Park,"Tanjung Duren, Jakarta",5.0,8.5,2590.0,Mengesankan,-6.17646,106.790028,,10326140
Jakarta,Manhattan Hotel Jakarta,Manhattan Hotel Jakarta,"Rasuna Said, Jakarta",5.0,8.3,8621.0,Mengesankan,-6.225193013149259,106.83132114484404,"Tanda khusus bagi tuna netra, Dapur kecil, Pusat kebugaran, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Sauna, Pusat kebugaran, Bar",8165000
Jakarta,Swiss-Belinn Simatupang Jakarta,Swiss-Belinn Simatupang Jakarta,"Lebak Bulus, Jakarta",3.0,8.5,7329.0,Mengesankan,-6.291379,106.779478,"Bar, Sewa mobil, Layanan pijat, Pusat kebugaran, Antar-jemput bandara, Spa, Pusat kebugaran, Bar",2930000
Jakarta,InterContinental Hotels JAKARTA PONDOK INDAH,InterContinental Hotels JAKARTA PONDOK INDAH,"Pondok Indah, Jakarta",5.0,8.9,1455.0,Mengesankan,-6.264619,106.782179,"Pusat kebugaran, Bar",16372221
Jakarta,Grand Tropic Suites Hotel,Grand Tropic Suites Hotel,"Tanjung Duren, Jakarta",4.0,8.0,5554.0,Nyaman,-6.171492499999999,106.7876258,"Tennis meja, Area main anak, Pusat kebugaran, Sauna, Pusat kebugaran",3670000
Jakarta,Le Meridien Jakarta,Le Meridien Jakarta,"Sudirman, Jakarta",5.0,8.7,377.0,Mengesankan,-6.2133933,106.81866790000004,"Klub malam, Penitipan anak, Antar-jemput bandara, Sauna, Spa",7260000
Jakarta,Gran Melia Jakarta,Gran Melia Jakarta,"Kuningan, Jakarta",5.0,8.8,1759.0,Mengesankan,-6.2345030560441215,106.83007767857362,"Jacuzzi, Klub malam, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Sauna, Pusat kebugaran, Bar",6777833
Jakarta,Swiss-Belhotel Pondok Indah,Swiss-Belhotel Pondok Indah,"Pondok Indah, Jakarta",4.0,8.5,4538.0,Mengesankan,-6.28759,106.779704,"Sewa mobil, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Spa, Pusat kebugaran, Bar",4270000
Jakarta,Holiday Inn Express JAKARTA PLUIT CITYGATE,Holiday Inn Express JAKARTA PLUIT CITYGATE,"Pluit, Jakarta",3.0,8.4,5158.0,Mengesankan,-6.127151,106.79044,Pusat kebugaran,3165336
Jakarta,Hotel Santika Premiere Slipi Jakarta,Hotel Santika Premiere Slipi Jakarta,"Slipi, Jakarta",4.0,8.6,6308.0,Mengesankan,-6.198277,106.802312,Aksesibel bagi penyandang disabilitas,3950000
Jakarta,Fairmont Jakarta,Fairmont Jakarta,"Senayan, Jakarta",5.0,8.9,1045.0,Mengesankan,-6.221751,106.798688,"Penitipan anak, Check-out ekspress",19420500
Jakarta,Redtop Hotel & Convention Center,Redtop Hotel & Convention Center,"Pecenongan, Jakarta",4.0,8.5,4209.0,Mengesankan,-6.163276663123464,106.82683223677066,"Bayar saat Check-in, Restoran show cooking, Bar, Fasilitas bisnis, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",3640354
Jakarta,Grand Whiz Poins Simatupang Jakarta,Grand Whiz Poins Simatupang Jakarta,"Lebak Bulus, Jakarta",4.0,8.6,9148.0,Mengesankan,-6.289882,106.77765899999996,"Sewa mobil, Layanan pijat, Pusat kebugaran, Aksesibel bagi penyandang disabilitas, Sauna, Spa, Pusat kebugaran",2573438
Jakarta,Ambhara Hotel,Ambhara Hotel,"Melawai, Jakarta",4.0,8.3,4857.0,Mengesankan,-6.243213889,106.8034194,Bar,2904000
Jakarta,ASTON Pluit Hotel & Residence,ASTON Pluit Hotel & Residence,"Pluit, Jakarta",4.0,8.3,5915.0,Mengesankan,-6.12443,106.795115,"Layanan pijat, Pusat kebugaran, Antar-jemput bandara, Spa, Pusat kebugaran, Bar",3204840
Jakarta,Hotel Gren Alia Jakarta,Hotel Gren Alia Jakarta,"Senen, Jakarta",3.0,8.7,2906.0,Mengesankan,-6.180881,106.838203,Aksesibel bagi penyandang disabilitas,2525000
Jakarta,Holiday Inn Express JAKARTA WAHID HASYIM,Holiday Inn Express JAKARTA WAHID HASYIM,"Kebon Kacang, Jakarta",3.0,8.6,3537.0,Mengesankan,-6.187198,106.821936,"Tennis, Pusat kebugaran, Bar",4704539
Jakarta,ibis Styles Jakarta Airport,ibis Styles Jakarta Airport,"Benda, Jakarta",3.0,8.3,4157.0,Mengesankan,-6.115917,106.683062,Check-out ekspress,2142424
Jakarta,Sentral Cawang Hotel,Sentral Cawang Hotel,"Cawang, Jakarta",3.0,8.4,7369.0,Mengesankan,-6.246891999999999,106.872668,"Layanan pijat, Aksesibel bagi penyandang disabilitas, Bar",1741500
Jakarta,Harris Vertu Hotel Harmoni,Harris Vertu Hotel Harmoni,"Harmoni, Jakarta",5.0,8.6,3749.0,Mengesankan,-6.164290999999999,106.820607,"Layanan pijat, Pusat kebugaran, Spa, Bar",4406700
Jakarta,Grand Dafam Ancol Jakarta,Grand Dafam Ancol Jakarta,"Ancol, Jakarta",4.0,8.4,434.0,Mengesankan,-6.1297622,106.829628,"Area main anak, Layanan pijat, Dapur kecil, Pusat kebugaran, Bilyar, Bar di kolam renang, Pusat kebugaran, Bar",5360000
Jakarta,Harris Tebet Jakarta,Harris Tebet Jakarta,"Manggarai Selatan, Jakarta",4.0,8.5,5101.0,Mengesankan,-6.222914,106.848124,"Bar, Area main anak, Layanan pijat, Pusat kebugaran, Bilyar, Sauna, Pusat kebugaran, Bar",3033000
Jakarta,Sheraton Grand Jakarta Gandaria City Hotel,Sheraton Grand Jakarta Gandaria City Hotel,"Kebayoran Lama Utara, Jakarta",5.0,8.9,1579.0,Mengesankan,-6.2452633,106.7830351,"Restoran show cooking, Winery, Sewa mobil, Fasilitas bisnis, Antar-jemput bandara, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",9958300
Jakarta,Swiss-Belresidences Kalibata,Swiss-Belresidences Kalibata,"Kalibata, Jakarta",4.0,8.6,8523.0,Mengesankan,-6.255345,106.855782,"Aerobik, Bar, Area main anak, Fasilitas bisnis, Bar di kolam renang, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",2735000
Jakarta,Grand Mercure Jakarta Kemayoran,Grand Mercure Jakarta Kemayoran,"Gunung Sahari, Jakarta",5.0,8.7,3438.0,Mengesankan,-6.1536,106.849698,"Penitipan anak, Check-out ekspress",4748040
Jakarta,"The Ritz-Carlton Jakarta, Mega Kuningan","The Ritz-Carlton Jakarta, Mega Kuningan","Kuningan, Jakarta",5.0,8.8,2884.0,Mengesankan,-6.2285397,106.82717449999996,"Restoran show cooking, Ruang santai, Bar, Bilyar, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Check-out ekspress, Bar",9970400
Jakarta,ASTON Kartika Grogol Hotel & Conference Center,ASTON Kartika Grogol Hotel & Conference Center,"Grogol, Jakarta",4.0,8.6,3896.0,Mengesankan,-6.16686899614645,106.79213986011882,"Layanan pijat, Pusat kebugaran, Spa, Pusat kebugaran, Bar",5353380
Jakarta,Swiss-Belhotel Airport Jakarta,Swiss-Belhotel Airport Jakarta,"Benda, Jakarta",4.0,8.5,2222.0,Mengesankan,-6.113721,106.686955,Antar-jemput bandara,2735003
Jakarta,Hotel Dharmein,Hotel Dharmein,"Melawai, Jakarta",3.0,8.5,3116.0,Mengesankan,-6.243422499999999,106.7986681,"Teras rooftop, Bar",1750000
Jakarta,Swiss-Belinn Wahid Hasyim,Swiss-Belinn Wahid Hasyim,"Kebon Kacang, Jakarta",3.0,8.4,895.0,Mengesankan,-6.187239399999999,106.8208767,"Jemputan stasiun kereta, Layanan pijat, Antar-jemput bandara, Check-out ekspress, Bar",3480000
Jakarta,Ra Suites Simatupang,Ra Suites Simatupang,"Cilandak Barat, Jakarta",5.0,8.6,68.0,Mengesankan,-6.291939699999999,106.7960524,"Transportasi ke pusat perbelanjaan, Winery, Jemputan stasiun kereta, Teras rooftop, Fasilitas bisnis, Aksesibel bagi penyandang disabilitas, Pusat kebugaran, Bar",4875000
